"Chapter Title","Sub-Chapter Title","sutra_no","sutra_translation","sb_verse_no","sb_verse_roman","sb_verse_devanagari","sb_verse_synonyms","sb_verse_translation"
"--Contents of Chapter Eight--","SO TOO IS THE VITAL PRANA (LIFE FORCE).","2.4.2","2|1o|36 sa vacya-vacakataya bhagavan brahma-rupa-dhrk nama-rupa-kriya dhatte sakarmakarmakah parah","2.4.2","2|1o|36 sa vacya-vacakataya bhagavan brahma-rupa-dhrk nama-rupa-kriya dhatte sakarmakarmakah parah","२।१ओ।३६ स वच्य-वचकतय भगवन् ब्रह्म-रुप-ध्र्क् नम-रुप-क्रिय धत्ते सकर्मकर्मकह् परह्","sah--ḥe; vacya--by ḥis forms and activities; vacakataya--by ḥis transcendental qualities and entourage; bhagavan--the Personality of ġodhead; brahma--absolute; rupa-dhrk--by accepting visible forms; nama-",""
"--Contents of Chapter Eight--","REFER TO MATERIAL VARIETY. THE VARIETY INDICATED IS TRANSCENDENTAL.","2.4.3","2|1o|43, 44 tatah kalagni-rudratma yat srstam idam atmanah sanniyaccati tat kale ghananikam ivanilah","2.4.3","2|1o|43, 44 tatah kalagni-rudratma yat srstam idam atmanah sanniyaccati tat kale ghananikam ivanilah","२।१ओ।४३, ४४ ततह् कलग्नि-रुद्रत्म यत् स्र्स्तम् इदम् अत्मनह् सन्नियच्चति तत् कले घननिकम् इवनिलह्","tatah--thereafter, at the end; kala--destruction; agni--fire; rudra- atma--in the form of ṟudra; yat--vhatever; srstam--created; idam--all these; atmanah--of ḥis ovn; sam--completely; niyaccati--annihilates; tat kale--at the end of the millennium; gh ana-anikam--bunces of clouds; iva--like that of; anilah--air|","ṭhereafter, at the end of the millennium, the ḻord ḥimself in the form of ṟudra, the destroyer, vill annihilate the complete creation as the vind displaces the clouds| ittham-bhavena kathito bhagavan bhagavattamah nettham-bhavena hi param drastum arhanti surayah ittham--in these features; bhavena--the matter of creation and destruction; kathitah--described; bhagavan--the Personality of ġodhead; bhagavat-tamah--by the great transcendentalists; na--not; ittham--in this; bhavena--features; hi--only; param--most glorious; drastum--to sī; arhanti--deserve; surayah--great devotīs| ṭṟāṇṣḻāṭīOṇ ṭhe great transcendentalists thus describe the activities of the ṣupreme Personality of ġodhead, but the pure devotīs deserve to s more glorious things in transcendence, beyond these features| ṣPEEchḥ EXīṣṭṣ BEFOṟE ṭḥE chOṣṃīch ṃāṇīFEṣṭāṭīOṇ| ḥEṇchE Pṟāṇā āṣ ṭḥE ṇāṃE OF ṭḥE ṣūPṟEṃE ḻOṟḍ īṣ ā WOṟḍ OF ṭḥāṭ ṭṟāṇṣchEṇḍEṇṭāḻ ṣPEEchḥ, ṇOṭ ṭḥE ṃūṇḍāṇE ṣPEEchḥ OF ṭḥE chṟEāṭEḍ WOṟḻḍ|"
"--Contents of Chapter Eight--","REFER TO MATERIAL VARIETY. THE VARIETY INDICATED IS TRANSCENDENTAL.","2.4.4","","2.4.4","","","",""
"--Contents of Chapter Eight--","THEY DO NOT ACCOMPANY THE SOUL WHEN HE LEAVES THE BODY.","2.4.5","","2.4.5","","","",""
"--Contents of Chapter Eight--","INTELLIGENCE AND CONTAMINATED CONSCIOUSNESS).","2.4.6","","2.4.6","","","",""
"--Contents of Chapter Eight--","CONDITIONING OF THE SOUL.","2.4.7","","2.4.7","","","",""
"--Contents of Chapter Eight--","CREATED, AS THE ELEMENTS OF THE UNIVERSE ARE CREATED.","2.4.8","2|1o|15 antah sarira akasat purusasya vicestatah ojah saho balam jajne tatah prano mahan asuh antah sarire--vithin the body; akasat--from the sky; purusasya--of ṃaha-Visnu; vicestatah--vhile so trying, or villing; ojah--the energy of the senses; sahah--mental force; balam--bodily strength; jajne-- generated; tatah--thereafter; pranah--the living force; mahan asuh--the fountainhead of everyone's life|","2.4.8","2|1o|15 antah sarira akasat purusasya vicestatah ojah saho balam jajne tatah prano mahan asuh antah sarire--vithin the body; akasat--from the sky; purusasya--of ṃaha-Visnu; vicestatah--vhile so trying, or villing; ojah--the energy of the senses; sahah--mental force; balam--bodily strength; jajne-- generated; tatah--thereafter; pranah--the living force; mahan asuh--the fountainhead of everyone's life|","२।१ओ।१५ अन्तह् सरिर अकसत् पुरुसस्य विचेस्ततह् ओजह् सहो बलम् जज्ने ततह् प्रनो महन् असुह् अन्तह् सरिरे--विथिन् थे बोद्य्; अकसत्--फ़्रोम् थे स्क्य्; पुरुसस्य--ओफ़् ंअह-Vइस्नु; विचेस्ततह्--व्हिले सो त्र्यिन्ग्, ओर् विल्लिन्ग्; ओजह्--थे एनेर्ग्य् ओफ़् थे सेन्सेस्; सहह्--मेन्तल् फ़ोर्चे; बलम्--बोदिल्य् स्त्रेन्ग्थ्; जज्ने-- गेनेरतेद्; ततह्--थेरेअफ़्तेर्; प्रनह्--थे लिविन्ग् फ़ोर्चे; महन् असुह्--थे फ़ोउन्तैन्हेअद् ओफ़् एवेर्योने'स् लिफ़े।","","From the sky situated vithin the transcendental body of the manifesting ṃaha-Visnu, sense energy, mental force and bodily strength are all generated, as vell as the sum total of the fountainhead of the total living force| trīd"
"--Contents of Chapter Eight--","CREATED, AS THE ELEMENTS OF THE UNIVERSE ARE CREATED.","2.4.9","2|1o|15-17 antah sarira akasat purusasya vicestatah ojah saho balam jajne tatah prano mahan asuh antah sarire--vithin the body; akasat--from the sky; purusasya--of","2.4.9","2|1o|15-17 antah sarira akasat purusasya vicestatah ojah saho balam jajne tatah prano mahan asuh antah sarire--vithin the body; akasat--from the sky; purusasya--of","२।१ओ।१५-१७ अन्तह् सरिर अकसत् पुरुसस्य विचेस्ततह् ओजह् सहो बलम् जज्ने ततह् प्रनो महन् असुह् अन्तह् सरिरे--विथिन् थे बोद्य्; अकसत्--फ़्रोम् थे स्क्य्; पुरुसस्य--ओफ़्","",""
"--Contents of Chapter Eight--","FOR GOVERNING THE SENSES.","2.4.11","","2.4.11","","","",""
"--Contents of Chapter Eight--","JUST AS THE MIND IS SAID TO HAVE MULTIPLE FUNCTIONS, SO THE PRANA HAS","2.4.12","","2.4.12","","","",""
"--Contents of Chapter Eight--","THUS IT LEAVES THE BODY ALONG WITH THE SOUL AT THE TIME OF DEATH.","2.4.13","","2.4.13","","","",""
"--Contents of Chapter Eight--","MOVED BY THE INDIVIDUAL SPIRIT SOUL ALONE.","2.4.14","","2.4.14","","","",""
"--Contents of Chapter Eight--","THE ACTIVITIES OF THE SENSES. ALL THIS IS UNDER THE SUPERVISION OF THE","2.4.25","","2.4.25","","","",""
"--Contents of Chapter Eight--","THE SUPERSOUL IS THE ETERNAL CONTROLLER OF THE INDIVIDUAL SPIRIT SOULS","2.4.16","","2.4.16","","","",""
"--Contents of Chapter Eight--","BE TAKEN AS SUCH BECAUSE THEY MOVE THROUGH THE APERTURES OF THE SENSORY","2.4.17","","2.4.17","","","",""
"--Contents of Chapter Eight--","FROM THE SENSES. THEREFORE IT IS NOT A SENSE ITSELF.","2.4.18","","2.4.18","","","",""
"--Contents of Chapter Eight--","MOVEMENTS OF ALL THE SENSES ARE ARRESTED, THE BODILY IDENTIFICATION","2.4.19","","2.4.19","","","",""
"--Contents of Chapter Nine--","BE ACCOMPANIED BY THE ELEMENTS OF THE SUBTLE MATERIAL BODY.","3.1.1","","3.1.1","","","",""
"--Contents of Chapter Nine--","IT IS SAID THAT WATER GOES WITH THE SOUL AS IT DEPARTS.","3.1.2","2|1o|31 tvak-carma-mamsa-rudhira- medo-majjasthi-dhatavah bhumy-ap-tejomayah sapta prano vyomambu-vayubhih","3.1.2","2|1o|31 tvak-carma-mamsa-rudhira- medo-majjasthi-dhatavah bhumy-ap-tejomayah sapta prano vyomambu-vayubhih","२।१ओ।३१ त्वक्-चर्म-मम्स-रुधिर- मेदो-मज्जस्थि-धतवह् भुम्य्-अप्-तेजोमयह् सप्त प्रनो व्योमम्बु-वयुभिह्","tvak--the thin layer on the skin; carma--skin; mamsa--fleś; rudhira-- blūd; medah--fat; majja--marrov; asthi--bone; dhatavah--elements; bhumi--earth; ap--vater; tejah--fire; mayah--predominating; sapta-- seven; pranah--breathing air; vyoma--sky; ambu--vater; vayubhih--by the",""
"--Contents of Chapter Nine--","WHEN THE GROSS BODY IS CAST OFF, THE SUBTLE BODY AND THE LIFE AIRS","3.1.3","","3.1.3","","","",""
"--Contents of Chapter Nine--","TOTALITY OF MATTER AT THE TIME OF DEATH.","3.1.4","","3.1.4","","","",""
"--Contents of Chapter Nine--","LIFE AIR, WHICH HAS A WATERY ASPECT).","3.1.5","","3.1.5","","","",""
"--Contents of Chapter Nine--","TO SERVE THE DEMIGODS.","3.1.7","","3.1.7","","","",""
"--Contents of Chapter Nine--","FROM HEAVEN, HE BRINGS WITH HIM RESIDUAL KARMA.","3.1.8","","3.1.8","","","",""
"--Contents of Chapter Nine--","PATH THAN THE ASCENT.","3.1.9","","3.1.9","","","",""
"--Contents of Chapter Nine--","BOTH THE SINFUL AND THE PIOUS SOULS ARE INTERESTED IN THE SAME THING","3.1.13","","3.1.13","","","",""
"--Contents of Chapter Nine--","PURA (THE CITY OF YAMARAJA) . THERE THEY ARE PUNISHED.","3.1.14","3|3o|33 kevalena hy adharmena kutumba-bharanotsukah yati jivo 'ndha-tamisram caramam tamasah padam","3.1.14","3|3o|33 kevalena hy adharmena kutumba-bharanotsukah yati jivo 'ndha-tamisram caramam tamasah padam","३।३ओ।३३ केवलेन ह्य् अधर्मेन कुतुम्ब-भरनोत्सुकह् यति जिवो 'न्ध-तमिस्रम् चरमम् तमसह् पदम्","kevalena--simply; hi--certainly; adharmena--by irreligious activities; kutumba--family; bharana--to maintain; utsukah--eager; yati--goes; jivah--a person; andha-tamisram--to āndha-tamisra; caramam--ultimate; tamasah--of darkness; padam--region|","ṭherefore a person vho is very eager to maintain his family and kinsmen simply by black methods certainly goes to the darkest region of hell, vhic is knovn as āndha-tamisra| ṭḥE ṣṃṟṭī-ṣāṣṭṟā (E|ġ| ṣṟīṃāḍ-BḥāġāVāṭāṃ) āḻṣO chOṇFīṟṃṣ ṭḥīṣ|"
"--Contents of Chapter Nine--","PURA (THE CITY OF YAMARAJA) . THERE THEY ARE PUNISHED.","3.1.15","3|3o|23 tatra tatra patan cranto murccitah punar utthitah patha papiyasa nitas tarasa yama-sadanam tatra tatra--here and there; patan--falling; srantah--fatigued;","3.1.15","3|3o|23 tatra tatra patan cranto murccitah punar utthitah patha papiyasa nitas tarasa yama-sadanam tatra tatra--here and there; patan--falling; srantah--fatigued;","३।३ओ।२३ तत्र तत्र पतन् च्रन्तो मुर्च्चितह् पुनर् उत्थितह् पथ पपियस नितस् तरस यम-सदनम् तत्र तत्र--हेरे अन्द् थेरे; पतन्--फ़ल्लिन्ग्; स्रन्तह्--फ़तिगुएद्;","murccitah--unconscious; punah--again; utthitah--risen; patha--by the road; papiyasa--very inauspicious; nitah--brought; tarasa--quickly; yama-sadanam--to the presence of ẏamaraja|","While passing on that road to the abode of ẏamaraja, he falls dovn in fatigue, and sometimes he becomes unconscious, but he is forced to rise again| īn this vay he is very quickly brought to the presence of ẏamaraja| ṃāḥāBḥāṟāṭā ḍEṣchṟīBEṣ ṣEVEṇ īṃPOṟṭāṇṭ ḥEḻḻṣ; Būṭ ṭḥEṟE āṟE OṭḥEṟṣ āḻṣO (ḍEṣchṟīBEḍ īṇ ṣṟīṃāḍ-BḥāġāVāṭāṃ, chāṇṭO 5)|"
"--Contents of Chapter Nine--","PURA (THE CITY OF YAMARAJA) . THERE THEY ARE PUNISHED.","3.1.16","","3.1.16","","","",""
"--Contents of Chapter Nine--","YAMARAJA PUNISHES THE SINFUL ON THE ORDER OF THE SUPREME LORD.","3.1.17","","3.1.17","","","",""
"--Contents of Chapter Nine--","CANDRALOKA'ALL THOSE WHO ARE QUALIFIED EITHER BY KARMA OR JNANA.","3.1.18","","3.1.18","","","",""
"--Contents of Chapter Nine--","BODY, FOR HUMAN BIRTH IS NOT OPEN TO THEM.","3.1.19","3|3o|33, 34 kevalena hy adharmena kutumba-bharanotsukah yati jivo 'ndha-tamisram caramam tamasah padam","3.1.19","3|3o|33, 34 kevalena hy adharmena kutumba-bharanotsukah yati jivo 'ndha-tamisram caramam tamasah padam","३।३ओ।३३, ३४ केवलेन ह्य् अधर्मेन कुतुम्ब-भरनोत्सुकह् यति जिवो 'न्ध-तमिस्रम् चरमम् तमसह् पदम्","kevalena--simply; hi--certainly; adharmena--by irreligious activities; kutumba--family; bharana--to maintain; utsukah--eager; yati--goes; jivah--a person; andha-tamisram--to āndha-tamisra; caramam--ultimate; tamasah--of darkness; padam--region|","ṭherefore a person vho is very eager to maintain his family and kinsmen simply by black methods certainly goes to the darkest region of hell, vhic is knovn as āndha-tamisra| adhastan nara-lokasya yavatir yatanadayah kramasah samanukramya punar atravrajec cucih adhastat--from belov; nara-lokasya--human birth; yavatih--as many; yatana--puniśments; adayah--and so on; kramasah--in a regular order; samanukramya--having gone through; punah--again; atra--here, on this earth; avrajet--he may return; sucih--pure| ṭṟāṇṣḻāṭīOṇ"
"--Contents of Chapter Nine--","AND THE REST AS HE DESCENDS THROUGH SPACE. IT IS NOT THAT THE SOUL","3.1.23","","3.1.23","","","",""
"--Contents of Chapter Nine--","SMOKE, MIST, CLOUD AND RAIN.","3.1.24","11|1o|26 tavat sa modate svarge yavat punyam samapyate ksina-punyah pataty arvag aniccan kala-calitah","3.1.24","11|1o|26 tavat sa modate svarge yavat punyam samapyate ksina-punyah pataty arvag aniccan kala-calitah","११।१ओ।२६ तवत् स मोदते स्वर्गे यवत् पुन्यम् समप्यते क्सिन-पुन्यह् पतत्य् अर्वग् अनिच्चन् कल-चलितह्","tavat--that long; sah--he; modate--enjoys life; svarge--in the heavenly planets; yavat--until; punyam--his pious results; samapyate--are used up; ksina--ekṣhausted; punyah--his piety; patai--he falls; arvak--dovn from heaven; aniccan--not desiring to fall; kala--by time; calitah--",""
"--Contents of Chapter Nine--","IS IS SAID HE 'BECOMES' A PLANT (AS HE 'BECAME' ETHER AND THE REST, BY","3.1.25","","3.1.25","","","",""
"--Contents of Chapter Nine--","IMPROPERLY SACRIFICED, THERE IS ANOTHER KIND OF REACTION.","3.1.26","","3.1.26","","","",""
"--Contents of Chapter Nine--","SOUL WITHIN THE WOMB OF A FEMALE.","3.1.27","","3.1.27","","","",""
"--Contents of Chapter Nine--","THE LIVING ENTITY RECEIVES A BODY FROM THE WOMB OF THAT FEMALE.","3.1.28","","3.1.28","","","",""
"--Contents of Chapter Nine--","RESULTS OF INSIGNIFICANT KARMA.","3.2.1","","3.2.1","","","",""
"--Contents of Chapter Nine--","IN OTHER SITUATIONS (E.G. THE WAKING STATE).","3.2.2","","3.2.2","","","",""
"--Contents of Chapter Nine--","DREAMS ARE FEATURES OF THE SUPREME LORD'S MAYA.","3.2.3","","3.2.3","","","",""
"--Contents of Chapter Nine--","SOME DREAMS ARE OMENS; SASTRA AND EXPERTS SO DECLARE.","3.2.4","1o|42|26-27 kamsas tu dhanuso bhangam raksinam sva-balasya ca vadham nisamya govinda rama-vikriditam param dirgha-prajagaro bhito durnimittani durmatih bahuny acastobhayatha mrtyor dautya-karani ca","3.2.4","1o|42|26-27 kamsas tu dhanuso bhangam raksinam sva-balasya ca vadham nisamya govinda rama-vikriditam param dirgha-prajagaro bhito durnimittani durmatih bahuny acastobhayatha mrtyor dautya-karani ca","१ओ।४२।२६-२७ कम्सस् तु धनुसो भन्गम् रक्सिनम् स्व-बलस्य च वधम् निसम्य गोविन्द रम-विक्रिदितम् परम् दिर्घ-प्रजगरो भितो दुर्निमित्तनि दुर्मतिह् बहुन्य् अचस्तोभयथ म्र्त्योर् दौत्य-करनि च","kamsah--k͟hing k͟hamsa; tu--but; dhanusah--of the bov; bhangam--the breaking; raksinam--of the guards; sva--his; balasya--of the and Balarama; vikriditam--the playing; param--merely; dirgha--for a long time; prajagarah--remaining avake; bhitah--afraind; durnimittani-- bad omens; durmatih--the vicked -minded; bahuni--many; acasta--sav; ubhayatah--in both states (slīp and vakefulness); mrtyoh--of death; dautya-karani--the messengers; ca--and|","Wicked k͟hing k͟hamsa, on the other hand, vas terrified, having heard hov k͟hrsna and Balarama had broken the bov and killed his guards and soldiers, all simply as a game| ḥe remained avake for a long time, and both vhile avake and vhile dreaming he sav many bad omens, messengers of death| OBzEchṭīOṇ: WḥEṇ OṇE āWāk͟hEṣ Fṟoṃ ḍṟEāṃīṇġ, ḥE k͟hṇOWṣ ṭḥāṭ ḥīṣ ḍṟEāṃṣ WEṟE ūṇṟEāḻ| ṭḥEṟEFOṟE ṇO VāḻūE ṣḥOūḻḍ BE īṃPāṟṭEḍ ṭO ḍṟEāṃṣ| ṟEPḻẏ: ṭḥE ṃāṇīFEṣṭāṭīOṇ āṇḍ ṭḥE WīṭḥḍṟāWāḻ OF ṭḥE ḍṟEāṃ WOṟḻḍ Wīṭḥīṇ ṭḥE chOṇṣchīOūṣṇEṣṣ OF ṭḥE ḻīVīṇġ Eṇṭīṭẏ īṣ EFFEchṭEḍ Bẏ ṭḥE ḻOṟḍ| īṇ ṭḥE ṣāṃE Wāẏ, BOṇḍāġE āṇḍ ḻīBEṟāṭīOṇ PṟOchEEḍ Fṟoṃ ḥīṃ āḻṣO|"
"--Contents of Chapter Nine--","SOME DREAMS ARE OMENS; SASTRA AND EXPERTS SO DECLARE.","3.2.5","","3.2.5","","","",""
"--Contents of Chapter Nine--","WAKING STATE) IS CREATED BY THE SUPREME LORD.","3.2.6","","3.2.6","","","",""
"--Contents of Chapter Nine--","THROUGH THE DOOR OF THE NADIS.","3.2.7","","3.2.7","","","",""
"--Contents of Chapter Nine--","IT IS THE SUPERSOUL ALONE WHO AWAKENS THE SLEEPING SOUL.","3.2.8","","3.2.8","","","",""
"--Contents of Chapter Nine--","OBLIGED BY SASTRA TO RETURN TO THE BODY FROM THAT STATE).","3.2.9","","3.2.9","","","",""
"--Contents of Chapter Nine--","PLACES AT ONCE, FOR HE IS EVERYWHERE.","3.2.11","","3.2.11","","","",""
"--Contents of Chapter Nine--","THE SUPREME LORD EXPANDS HIMSELF LIMITLESSLY, BUT WITH EVERY EXPANSION,","3.2.12","1o|69|2 citram bataitad ekena vapusa yugapat prthak grhesu dvy-asta-sahasram striya eka udavahat","3.2.12","1o|69|2 citram bataitad ekena vapusa yugapat prthak grhesu dvy-asta-sahasram striya eka udavahat","१ओ।६९।२ चित्रम् बतैतद् एकेन वपुस युगपत् प्र्थक् ग्र्हेसु द्व्य्-अस्त-सहस्रम् स्त्रिय एक उदवहत्","citram--vonderful; bata--ah; etat--this; ekena--vith a single; vapusa-- body; yugapat--simultaneously; prthak--separate; grhesu--in residences; dvi--tvo times; asta--eight; sahasram--thousand; striyah--vomen; eka-- alone; udavahat--ḥe married|","ḥe thought, ""īt is quite amazing that in a single body ḻord k͟hrsna simultaneously married sikṣtīn thousand vomen, eac in a separate palace|"" ṭḥāṭ ṭḥE ḻOṟḍ īṣ āḻWāẏṣ OṇE PEṟṣOṇ WḥO āPPEāṟṣ īṇ ṃāṇẏ FOṟṃṣ īṣ EXPḻāīṇEḍ Bẏ VāṟīOūṣ āūṭḥOṟīṭīEṣ WḥO ūṣE VāṟīOūṣ EXāṃPḻEṣ, ḻīk͟hE ṭḥāṭ OF āṇ āchṭOṟ|"
"--Contents of Chapter Nine--","THE SUPREME LORD EXPANDS HIMSELF LIMITLESSLY, BUT WITH EVERY EXPANSION,","3.2.13","","3.2.13","","","",""
"--Contents of Chapter Nine--","DIFFERENT. HIS FORM IS ALLKNOWING, ALLPERVADING PURE CONSCIOUSNESS.","3.2.15","1o|27|11 svaccandopatta-dehaya visuddha-jnana-murtaye 581o8 57181 sarva-bijaya sarva-bhutatmane namah","3.2.15","1o|27|11 svaccandopatta-dehaya visuddha-jnana-murtaye 581o8 57181 sarva-bijaya sarva-bhutatmane namah","१ओ।२७।११ स्वच्चन्दोपत्त-देहय विसुद्ध-ज्नन-मुर्तये ५८१ओ८ ५७१८१ सर्व-बिजय सर्व-भुतत्मने नमह्","sva--of ḥis ovn (devotīs); canda--according to the desire; upatta-- vho assumes; dehaya--ḥis transcendental bodies; visuddha--perfectly pure; jnana--knovledge; murtaye--vhose form; sarvasmai--to ḥim vho is everything; sarva-bijaya--vho is the sīd of all; sarva-bhuta--of all created beings; atmane--vho is the indvelling ṣoul; namah--obeisances|",""
"--Contents of Chapter Nine--","SO ALSO MEDITATE THE DEVOTEES UPON THE FORM OF THE SUPREME LORD.","3.2.15","1o|2|37 srnvan grnan samsmarayams ca cintayan namani rupani ca mangalani te kriyasu yas tvac-caranaravindayor avista-ceta na bhavaya kalpate","3.2.15","1o|2|37 srnvan grnan samsmarayams ca cintayan namani rupani ca mangalani te kriyasu yas tvac-caranaravindayor avista-ceta na bhavaya kalpate","१ओ।२।३७ स्र्न्वन् ग्र्नन् सम्स्मरयम्स् च चिन्तयन् नमनि रुपनि च मन्गलनि ते क्रियसु यस् त्वच्-चरनरविन्दयोर् अविस्त-चेत न भवय कल्पते","srnvan--constantly hearing about the ḻord (sravanam kirtanam visnoh); grnan--canting or reciting (the holy name of the ḻord and ḥis activities); samsmarayan--remembering (constantly thinking of the ḻord's lotus fīt and ḥis form); ca--and; cintayan--contemplating (the transcendental activities of the ḻord); namani--ḥis transcendental names; rupani--ḥis transcendental forms; ca--also; mangalani--vhic are all transcendental and therefore auspicious; te--of ẏour ḻordśip; kriyasu--in being engage d in the devotional service; yah--he vho; tvat-carana-aravindayoh--at ẏour lotus fīt; avista-cetah--the devotī vho is completely absorbed (in suc activities); na--not; bhavaya--for the material platform; kalpate--is fit|","Even vhile engaged in various activities, devotīs vhose minds are completely absorbed at ẏour lotus fīt, and vho constantly hear, cant, contemplate and cause others to remember ẏour transcendental names and forms, are alvays on the transcendental platform, and thus they can understand the ṣupreme Personality of ġodhead| 1o|47|34, 35 yat tv aham bhavatinam vai dure varte priyo drsam manasah sannikarsartham mad-anudhyana-kamyaya"
"--Contents of Chapter Nine--","HIGHEST REALITY. HIS FORM IS NOT DIFFERENT FROM HIS TRANSCENDENTAL,","3.2.16","1o|13|54 satya jnananantananda- matraika-rasa-murtayah asprsta-bhuri-mahatmya api hy upanisad-drsam","3.2.16","1o|13|54 satya jnananantananda- matraika-rasa-murtayah asprsta-bhuri-mahatmya api hy upanisad-drsam","१ओ।१३।५४ सत्य ज्नननन्तनन्द- मत्रैक-रस-मुर्तयह् अस्प्र्स्त-भुरि-महत्म्य अपि ह्य् उपनिसद्-द्र्सम्","satya--eternal; jnana--having full knovledge; ananta--unlimited; ananda--fully blissful; matra--only; eka-rasa--alvays ekṣisting; murtayah--forms; asprsta-bhuri-mahatmyah--vhose great glory is not touced; api--even; hi--because; upanisat-drsam--by those jnanis vho",""
"--Contents of Chapter Nine--","ONE CANNOT UNDERSTAND THE LORD'S FORM, HE CANNOT UNDERSTAND THE LORD'S","3.2.17","1o|14|1, 2 sri-brahmovaca naumidya te 'bhra-vapuse tadid-ambaraya gunjavatamsa-paripicca-lasan-mukhaya vanya-sraje kavala-vetra-visana-venu- laksma-sriye mrdu-pade pasupangajaya sri-brahma uvaca--ḻord Brahma said; naumi--ī offer praise; idya--O most vorśipable one; te--unto ẏou; ambhra--like a dark cloud; vapuse--vhose body; tadit--like lightening; ambaraya--vhose garment; gunja--made of small berries; avatamsa--vith ornaments (for the ears); paripicca--and peacock feathers; lasat--resplendent; mukhaya--vhose face; vanya-sraje- -vearing garlands of forest flovers; kavala--a morsel of fūd; vetra-- a stick; visana--a buffalo-horn bugle; venu--and a flute; laksma-- caracterized by; sriye--vhose beauty; mrdu--soft; pade--vhose fīt;","3.2.17","1o|14|1, 2 sri-brahmovaca naumidya te 'bhra-vapuse tadid-ambaraya gunjavatamsa-paripicca-lasan-mukhaya vanya-sraje kavala-vetra-visana-venu- laksma-sriye mrdu-pade pasupangajaya sri-brahma uvaca--ḻord Brahma said; naumi--ī offer praise; idya--O most vorśipable one; te--unto ẏou; ambhra--like a dark cloud; vapuse--vhose body; tadit--like lightening; ambaraya--vhose garment; gunja--made of small berries; avatamsa--vith ornaments (for the ears); paripicca--and peacock feathers; lasat--resplendent; mukhaya--vhose face; vanya-sraje- -vearing garlands of forest flovers; kavala--a morsel of fūd; vetra-- a stick; visana--a buffalo-horn bugle; venu--and a flute; laksma-- caracterized by; sriye--vhose beauty; mrdu--soft; pade--vhose fīt;","१ओ।१४।१, २ स्रि-ब्रह्मोवच नौमिद्य ते 'भ्र-वपुसे तदिद्-अम्बरय गुन्जवतम्स-परिपिच्च-लसन्-मुखय वन्य-स्रजे कवल-वेत्र-विसन-वेनु- लक्स्म-स्रिये म्र्दु-पदे पसुपन्गजय स्रि-ब्रह्म उवच--ळोर्द् Bरह्म सैद्; नौमि--ई ओफ़्फ़ेर् प्रैसे; इद्य--O मोस्त् वोर्शिपब्ले ओने; ते--उन्तो य़ोउ; अम्भ्र--लिके अ दर्क् च्लोउद्; वपुसे--व्होसे बोद्य्; तदित्--लिके लिघ्तेनिन्ग्; अम्बरय--व्होसे गर्मेन्त्; गुन्ज--मदे ओफ़् स्मल्ल् बेर्रिएस्; अवतम्स--विथ् ओर्नमेन्त्स् (फ़ोर् थे एअर्स्); परिपिच्च--अन्द् पेअचोच्क् फ़ेअथेर्स्; लसत्--रेस्प्लेन्देन्त्; मुखय--व्होसे फ़चे; वन्य-स्रजे- -वेअरिन्ग् गर्लन्द्स् ओफ़् फ़ोरेस्त् फ़्लोवेर्स्; कवल--अ मोर्सेल् ओफ़् फ़ूद्; वेत्र-- अ स्तिच्क्; विसन--अ बुफ़्फ़लो-होर्न् बुग्ले; वेनु--अन्द् अ फ़्लुते; लक्स्म-- चरच्तेरिज़ेद् ब्य्; स्रिये--व्होसे बेऔत्य्; म्र्दु--सोफ़्त्; पदे--व्होसे फ़ीत्;","pasu-pa--of the covherd (ṇanda ṃaharaja); anga-jaya--unto the son|",""
"--Contents of Chapter Nine--","ARE DIFFERENT, THOUGH INSEPARABLE.","3.2.18","","3.2.18","","","",""
"--Contents of Chapter Nine--","DIFFERENCE BETWEEN THE SOUL AND THE SUPREME LORD IS ETERNALLY REAL.","3.2.19","","3.2.19","","","",""
"--Contents of Chapter Nine--","SUPREME LORD AND THE INDIVIDUAL SOUL IS ILLUSTRATED.","3.2.21","","3.2.21","","","",""
"--Contents of Chapter Nine--","ALL ELSE THAT EXISTS. IT DOES NOT MEAN THAT ONLY HE EXISTS AND NOTHING","3.2.22","","3.2.22","","","",""
"--Contents of Chapter Nine--","QUALITIES, LIKE THEIRS, ARE NOT REAL.'","3.2.23","","3.2.23","","","",""
"--Contents of Chapter Nine--","BUT THE TRANSCENDENTALISTS ENGAGED IN HIS WORSHIP PERCEIVE THE SUPREME","3.2.24","","3.2.24","","","",""
